region;year;I_L_1;I_L_2;I_L_3;I_L_4;I_L_5;I_B_1;I_B_2;I_B_3;I_B_4;I_B_5
CHA;1990;1;1;1;1;1;1;1;1;1;1
CHA;1995;1;1;1;1;1;1;1;1;1;1
CHA;2000;1;1;1;1;1;1;1;1;1;1
CHA;2005;1;1;1;1;1;1;1;1;1;1
CHA;2010;1;1;1;1;1;1;1;1;1;1
CHA;2015;1;1;1;1;1;1;1;1;1;1
CHA;2020;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33
CHA;2025;0.6;0.7;0.8;0.8;0.8;0.4;0.6;0.6;0.6;0.7
CHA;2030;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
CHA;2035;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
CHA;2040;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
CHA;2045;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
CHA;2050;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
CHA;2055;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
CHA;2060;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
CHA;2070;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
CHA;2080;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
CHA;2090;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
CHA;2100;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
CHA;2110;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
CHA;2130;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
CHA;2150;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
EUR;1965;1;1;1;1;1;1;1;1;1;1
EUR;1970;1;1;1;1;1;1;1;1;1;1
EUR;1975;1;1;1;1;1;1;1;1;1;1
EUR;1980;1;1;1;1;1;1;1;1;1;1
EUR;1985;1;1;1;1;1;1;1;1;1;1
EUR;1990;1;1;1;1;1;1;1;1;1;1
EUR;1995;1;1;1;1;1;1;1;1;1;1
EUR;2000;1;1;1;1;1;1;1;1;1;1
EUR;2005;1;1;1;1;1;1;1;1;1;1
EUR;2010;1;1;1;1;1;1;1;1;1;1
EUR;2015;1;1;1;1;1;1;1;1;1;1
EUR;2020;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33
EUR;2025;0.6;0.7;0.8;0.8;0.8;0.4;0.6;0.6;0.6;0.7
EUR;2030;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
EUR;2035;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
EUR;2040;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
EUR;2045;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
EUR;2050;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
EUR;2055;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
EUR;2060;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
EUR;2070;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
EUR;2080;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
EUR;2090;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
EUR;2100;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
EUR;2110;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
EUR;2130;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
EUR;2150;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
IND;1965;1;1;1;1;1;1;1;1;1;1
IND;1970;1;1;1;1;1;1;1;1;1;1
IND;1975;1;1;1;1;1;1;1;1;1;1
IND;1980;1;1;1;1;1;1;1;1;1;1
IND;1985;1;1;1;1;1;1;1;1;1;1
IND;1990;1;1;1;1;1;1;1;1;1;1
IND;1995;1;1;1;1;1;1;1;1;1;1
IND;2000;1;1;1;1;1;1;1;1;1;1
IND;2005;1;1;1;1;1;1;1;1;1;1
IND;2010;1;1;1;1;1;1;1;1;1;1
IND;2015;1;1;1;1;1;1;1;1;1;1
IND;2020;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33
IND;2025;0.6;0.7;0.8;0.8;0.8;0.4;0.6;0.6;0.6;0.7
IND;2030;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
IND;2035;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
IND;2040;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
